vehicle_id,city_mpg_ft1,city_electricity_consumption,highway_mpg_ft1,highway_electricity_consumption,unadjusted_city_mpg_ft1,unadjusted_highway_mpg_ft1,combined_mpg_ft1,combined_electricity_consumption,annual_fuel_cost_ft1,save_or_spend_5_year,annual_consumption_in_barrels_ft1,tailpipe_co2_ft1,tailpipe_co2_in_grams_mile_ft1,fuel_economy_score,my_mpg_data
26587,7.227448000000001,0.0,10.203456,0.0,8.928024,14.454896000000002,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
27705,7.227448000000001,0.0,10.203456,0.0,8.928024,14.454896000000002,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
26561,7.652592,0.0,10.6286,0.0,9.778312,14.88004,8.928024,0.0,1402.5,-1275.0,15.69571429,-1.0,423.1904762,-1.0,N
27681,7.652592,0.0,10.6286,0.0,9.778312,14.88004,8.928024,0.0,1402.5,-1275.0,15.69571429,-1.0,423.1904762,-1.0,N
27550,7.652592,0.0,7.227448000000001,0.0,9.353168,10.203456,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
28426,7.652592,0.0,7.227448000000001,0.0,9.353168,10.203456,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
27549,5.526872,0.0,5.526872,0.0,6.802304,7.652592,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,N
28425,5.526872,0.0,5.526872,0.0,6.802304,7.652592,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,N
27593,6.37716,0.0,8.502880000000001,0.0,8.077736,11.478888,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
28455,6.37716,0.0,8.077736,0.0,8.077736,11.053744,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
27591,8.077736,0.0,9.353168,0.0,10.203456,12.75432,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
27594,6.802304,0.0,8.502880000000001,0.0,8.502880000000001,11.478888,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
28454,8.077736,0.0,9.353168,0.0,10.203456,12.75432,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
28456,6.37716,0.0,8.502880000000001,0.0,8.077736,11.478888,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
27592,8.077736,0.0,9.778312,0.0,10.203456,13.604608,8.928024,0.0,1402.5,-1275.0,15.69571429,-1.0,423.1904762,-1.0,N
27595,6.802304,0.0,9.353168,0.0,8.502880000000001,12.75432,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
28457,6.802304,0.0,9.353168,0.0,8.502880000000001,12.75432,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
27585,7.227448000000001,0.0,8.928024,0.0,8.928024,12.329176,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
27588,6.802304,0.0,8.502880000000001,0.0,8.502880000000001,11.904032,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
28449,7.227448000000001,0.0,8.928024,0.0,8.928024,12.329176,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
28451,6.37716,0.0,8.502880000000001,0.0,8.077736,11.478888,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
27586,8.077736,0.0,9.353168,0.0,10.203456,12.75432,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
27589,6.802304,0.0,8.502880000000001,0.0,8.502880000000001,11.478888,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
28450,8.077736,0.0,9.353168,0.0,10.203456,12.75432,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
28452,6.37716,0.0,8.502880000000001,0.0,8.077736,11.478888,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
27587,8.077736,0.0,9.778312,0.0,10.203456,13.604608,8.928024,0.0,1402.5,-1275.0,15.69571429,-1.0,423.1904762,-1.0,N
