vehicle_id,engine_index,engine_descriptor,engine_cylinders,engine_displacement,turbocharger,fuel_type,fuel_type_1,alternative_fuel_technology,ghg_score,ghg_score_alt_fuel
26587,9001.0,(FFS),6.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
27705,9005.0,(FFS) CA model,6.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
26561,9002.0,(FFS),4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
27681,9006.0,(FFS) CA model,4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
27550,1830.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
28426,1880.0,(FFS) CA model,4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
27549,1831.0,(FFS),6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
28425,1881.0,(FFS) CA model,6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
27593,1524.0,(FFS),6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
28455,1574.0,(FFS) CA model,6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
27591,1405.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
27594,1504.0,(FFS),6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
28454,1455.0,(FFS)(SIL) CA model,4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
28456,1554.0,(FFS) CA model,6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
27592,1420.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
27595,1514.0,(FFS),6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
28457,1564.0,(FFS) CA model,6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
27585,1430.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
27588,1524.0,(FFS),6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
28449,1480.0,(FFS) CA model,4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
28451,1574.0,(FFS) CA model,6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
27586,1405.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
27589,1504.0,(FFS),6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
28450,1455.0,(FFS)(SIL) CA model,4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
28452,1554.0,(FFS) CA model,6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
